subjID,cond_dummy,condition,include,filter_var,b_comm_neutral,w_comm_neutral,b_comm_ses,w_comm_ses,b_comm_host,w_comm_host,b_comm_other,w_comm_other,b_pers_neutral,w_pers_neutral,b_pers_ses,w_pers_ses,b_pers_host,w_pers_host,b_pers_other,w_pers_other
A1S6C6EN,0,Control,1,1,55.75,66.63,58.17,32.33,53.5,41,89,45.75,53.25,57,43.83,52.33,36.33,59.67,89,45.75
A1HRHFU7,0,Control,1,0,53.13,51.88,50.83,30.67,55,34.5,67.5,42.5,53,53.13,32.5,29,31,35.5,67.5,42.5
ALL5YYZD,0,Control,1,1,54.5,65.63,71.33,72.67,71.5,63.5,57,70.75,46.25,71.38,63.17,65.17,64.83,75.67,57,70.75
A49HPQ9P,0,Control,1,1,31.88,60.63,75,24.17,80,35,61.25,47.5,45.63,51.25,54.17,48.33,71.67,50,61.25,47.5
A1CH3TOD,0,Control,3,0,64.63,64.75,53,64.5,52,67.33,22.25,71.75,54,73.13,64,75.67,51.67,61.17,22.25,71.75
A1QEYUUD,0,Control,1,1,26.63,48,43.17,50.83,54.17,46.67,55.75,44.75,26.38,53.88,10.17,42.33,17.5,38.33,55.75,44.75
A2JZP4AZ,0,Control,1,0,53.63,63.75,70.67,25.33,76,31.67,63.25,54,53.63,73.63,34.67,29,40.17,47.33,63.25,54
A1JVO7FL,0,Control,1,1,39.75,46.38,23.5,17.83,20.33,17.83,58.75,33.25,39.75,42.63,11,20.33,0,13,58.75,33.25
A3RQN5RZ,0,Control,1,1,36.25,63.13,82.5,33.33,77.5,37.5,55,48.75,45,53.13,38.33,43.33,42.5,44.17,55,48.75
A2H90BPV,0,Control,1,1,66.63,48,76.17,43,77.33,36.83,61,59.25,59.38,50.5,80.83,37,65.33,37.67,61,59.25
A2G7N0X0,0,Control,1,0,51.88,48.13,26.67,16.67,35.83,39.17,62.5,26.25,41.88,45,32.5,28.33,58.33,57.5,62.5,26.25
A34SUZWG,0,Control,1,0,68.88,56.25,27.5,31.67,33.33,41.67,47.5,47.5,58.75,47.5,20,28.33,25,38.33,47.5,47.5
A2RBF3II,0,Control,1,0,55.75,51.88,90.83,32.5,92.33,38.67,88,28.75,52.5,58.5,65.33,48.17,72,62,88,28.75
A1T83SZB,0,Control,1,0,55.25,72.38,69,39,66.83,46,58.25,47.5,62.13,67.63,12.33,55,19.17,59.17,58.25,47.5
A28KRCW6,0,Control,1,1,47.38,67.5,43.33,28.67,51,35.17,73.75,76.25,67.5,72.25,35,32,34.33,36.83,73.75,76.25
